EPGDPN XVZNVM RVN VNNVNNDIVOZY JI OCZ ADAOZZIOC JA HVMXC DI MJHZ
FQHEQO YWAOWN SWO WOOWOOEJWPAZ KJ PDA BEBPAAJPD KB IWNYD EJ NKIA
GRIFRP ZXBPXO TXP XPPXPPFKXQBA LK QEB CFCQBBKQE LC JXOZE FK OLJB
HSJGSQ AYCQYP UYQ YQQYQQGLYRCB ML RFC DGDRCCLRF MD KYPAF GL PMKC
ITKHTR BZDRZQ VZR ZRRZRRHMZSDC NM SGD EHESDDMSG NE LZQBG HM QNLD
JULIUS CAESAR WAS ASSASSINATED ON THE FIFTEENTH OF MARCH IN ROME
KVMJVT DBFTBS XBT BTTBTTJOBUFE PO UIF GJGUFFOUI PG NBSDI JO SPNF
LWNKWU ECGUCT YCU CUUCUUKPCVGF QP VJG HKHVGGPVJ QH OCTEJ KP TQOG
MXOLXV FDHVDU ZDV DVVDVVLQDWHG RQ WKH ILIWHHQWK RI PDUFK LQ URPH
NYPMYW GEIWEV AEW EWWEWWMREXIH SR XLI JMJXIIRXL SJ QEVGL MR VSQI
OZQNZX HFJXFW BFX FXXFXXNSFYJI TS YMJ KNKYJJSYM TK RFWHM NS WTRJ
PAROAY IGKYGX CGY GYYGYYOTGZKJ UT ZNK LOLZKKTZN UL SGXIN OT XUSK
QBSPBZ JHLZHY DHZ HZZHZZPUHALK VU AOL MPMALLUAO VM THYJO PU YVTL
RCTQCA KIMAIZ EIA IAAIAAQVIBML WV BPM NQNBMMVBP WN UIZKP QV ZWUM
SDURDB LJNBJA FJB JBBJBBRWJCNM XW CQN OROCNNWCQ XO VJALQ RW AXVN
TEVSEC MKOCKB GKC KCCKCCSXKDON YX DRO PSPDOOXDR YP WKBMR SX BYWO
UFWTFD NLPDLC HLD LDDLDDTYLEPO ZY ESP QTQEPPYES ZQ XLCNS TY CZXP
VGXUGE OMQEMD IME MEEMEEUZMFQP AZ FTQ RURFQQZFT AR YMDOT UZ DAYQ
WHYVHF PNRFNE JNF NFFNFFVANGRQ BA GUR SVSGRRAGU BS ZNEPU VA EBZR
XIZWIG QOSGOF KOG OGGOGGWBOHSR CB HVS TWTHSSBHV CT AOFQV WB FCAS
YJAXJH RPTHPG LPH PHHPHHXCPITS DC IWT UXUITTCIW DU BPGRW XC GDBT
ZKBYKI SQUIQH MQI QIIQIIYDQJUT ED JXU VYVJUUDJX EV CQHSX YD HECU
ALCZLJ TRVJRI NRJ RJJRJJZERKVU FE KYV WZWKVVEKY FW DRITY ZE IFDV
BMDAMK USWKSJ OSK SKKSKKAFSLWV GF LZW XAXLWWFLZ GX ESJUZ AF JGEW
CNEBNL VTXLTK PTL TLLTLLBGTMXW HG MAX YBYMXXGMA HY FTKVA BG KHFX
DOFCOM WUYMUL QUM UMMUMMCHUNYX IH NBY ZCZNYYHNB IZ GULWB CH LIGY
